file,speaker,label,y_true,y_pred,score,dist
7.wav,Donald Trump,bona-fide,0,1,0.08308999,0.08409289
8.wav,Donald Trump,bona-fide,0,1,0.04738104,0.048383944
18.wav,Donald Trump,bona-fide,0,1,0.11828452,0.119287424
20.wav,Donald Trump,bona-fide,0,1,0.10200904,0.10301194
23.wav,Donald Trump,bona-fide,0,1,0.10165201,0.10265491
41.wav,Donald Trump,spoof,1,1,0.059419952,0.060422856
80.wav,Donald Trump,bona-fide,0,1,0.0532223,0.054225203
90.wav,Donald Trump,bona-fide,0,1,0.057439715,0.05844262
108.wav,Donald Trump,bona-fide,0,1,0.09257168,0.09357458
113.wav,Donald Trump,bona-fide,0,1,0.045078423,0.046081327
123.wav,Donald Trump,bona-fide,0,1,0.0768639,0.0778668
125.wav,Donald Trump,bona-fide,0,1,0.10745586,0.10845876
134.wav,Donald Trump,bona-fide,0,1,0.039386466,0.04038937
138.wav,Donald Trump,spoof,1,1,0.039095327,0.04009823
158.wav,Donald Trump,bona-fide,0,1,0.034510486,0.03551339
161.wav,Donald Trump,bona-fide,0,1,0.08134504,0.08234794
162.wav,Donald Trump,bona-fide,0,1,0.050531633,0.051534537
171.wav,Donald Trump,bona-fide,0,1,0.055459417,0.05646232
180.wav,Donald Trump,bona-fide,0,1,0.04977156,0.050774463
200.wav,Donald Trump,bona-fide,0,1,0.06317623,0.06417913
201.wav,Donald Trump,bona-fide,0,1,0.05579829,0.056801192
204.wav,Donald Trump,bona-fide,0,1,0.05833633,0.059339233
205.wav,Donald Trump,bona-fide,0,1,0.07162328,0.07262618
218.wav,Donald Trump,bona-fide,0,1,0.0761605,0.0771634
219.wav,Donald Trump,bona-fide,0,1,0.04135306,0.042355966
222.wav,Donald Trump,bona-fide,0,1,0.04744104,0.048443943
243.wav,Donald Trump,bona-fide,0,1,0.058633823,0.059636727
247.wav,Norm MacDonald,bona-fide,0,1,0.056234412,0.057237316
250.wav,Donald Trump,bona-fide,0,1,0.05213012,0.053133026
260.wav,Donald Trump,bona-fide,0,1,0.055651937,0.05665484
268.wav,Donald Trump,bona-fide,0,1,0.07999787,0.08100077
279.wav,Donald Trump,bona-fide,0,1,0.047815498,0.048818402
290.wav,Donald Trump,bona-fide,0,1,0.04072799,0.041730896
299.wav,Donald Trump,bona-fide,0,1,0.060337886,0.06134079
348.wav,Donald Trump,bona-fide,0,1,0.047137856,0.04814076
384.wav,Donald Trump,bona-fide,0,1,0.056092646,0.05709555
392.wav,Donald Trump,spoof,1,1,0.21525092,0.21625383
400.wav,Donald Trump,bona-fide,0,1,0.08902275,0.09002565
406.wav,Donald Trump,bona-fide,0,1,0.052481942,0.053484846
407.wav,Donald Trump,bona-fide,0,1,0.069725186,0.070728086
411.wav,Donald Trump,bona-fide,0,1,0.09488667,0.09588957
413.wav,Donald Trump,bona-fide,0,1,0.07387971,0.07488261
431.wav,Donald Trump,bona-fide,0,1,0.06732296,0.06832586
434.wav,Donald Trump,bona-fide,0,1,0.049390934,0.05039384
438.wav,Donald Trump,bona-fide,0,1,0.06834396,0.06934686
440.wav,Donald Trump,spoof,1,1,0.082165614,0.083168514
453.wav,Donald Trump,bona-fide,0,1,0.05099235,0.051995255
456.wav,Donald Trump,bona-fide,0,1,0.09289808,0.09390098
467.wav,Donald Trump,bona-fide,0,1,0.0798009,0.0808038
468.wav,Donald Trump,bona-fide,0,1,0.030792834,0.031795736
474.wav,Donald Trump,spoof,1,1,0.047709975,0.04871288
476.wav,Donald Trump,bona-fide,0,1,0.116565116,0.117568016
478.wav,Donald Trump,bona-fide,0,1,0.07808346,0.07908636
480.wav,Donald Trump,bona-fide,0,1,0.0558311,0.056834005
482.wav,Donald Trump,bona-fide,0,1,0.051798135,0.05280104
491.wav,Norm MacDonald,spoof,1,1,0.10006703,0.10106993
499.wav,Donald Trump,bona-fide,0,1,0.08052707,0.08152997
517.wav,Donald Trump,bona-fide,0,1,0.09940019,0.10040309
533.wav,Donald Trump,bona-fide,0,1,0.09358349,0.09458639
551.wav,Donald Trump,bona-fide,0,1,0.07679071,0.07779361
553.wav,Donald Trump,bona-fide,0,1,0.052284215,0.05328712
555.wav,Donald Trump,bona-fide,0,1,0.033904206,0.03490711
556.wav,Donald Trump,bona-fide,0,1,0.11833663,0.11933953
582.wav,Donald Trump,bona-fide,0,1,0.048993662,0.049996566
596.wav,Donald Trump,bona-fide,0,1,0.09369866,0.09470156
